Date,Time,Relative_time,Temperature,Resonance_Frequency,Dissipation
2024-01-19,14:42:58,19.16,21.75,4998848.36,0.000373512818214231
2024-01-19,14:42:58,19.27,21.75,4998849.85,0.00037587884252283986
2024-01-19,14:42:59,19.38,21.75,4998613.76,0.00038738034029836706
2024-01-19,14:42:59,19.47,21.75,4998660.67,0.0003837533719700072
2024-01-19,14:42:59,19.6,21.75,4998545.63,0.0004000793096206343
2024-01-19,14:42:59,19.71,21.75,4998348.89,0.0003923731642613555
2024-01-19,14:42:59,19.82,21.75,4998342.61,0.0003928008736401215
2024-01-19,14:42:59,19.93,21.75,4998498.73,0.0003850702330669564
2024-01-19,14:42:59,20.03,21.75,4998504.81,0.00038139984412645947
2024-01-19,14:42:59,20.14,21.75,4998630.16,0.00040010020999621857
2024-01-19,14:42:59,20.25,21.75,4998914.2,0.0003962601844529122
2024-01-19,14:42:59,20.36,21.75,4998914.49,0.0003962788834471162
2024-01-19,14:43:00,20.47,21.75,4998780.55,0.00040766851004039856
2024-01-19,14:43:00,20.59,21.75,4998646.35,0.00039624583084702983
2024-01-19,14:43:00,20.69,21.75,4998645.67,0.0003959204881912032
2024-01-19,14:43:00,20.76,21.75,4998971.43,0.0003958915346231633
2024-01-19,14:43:00,20.91,21.75,4999144.11,0.00038602426008132307
2024-01-19,14:43:00,21.02,21.75,4998961.19,0.0003996073517380704
2024-01-19,14:43:00,21.13,21.75,4999129.41,0.0004138214623615789
2024-01-19,14:43:00,21.24,21.75,4999129.14,0.0004137708164894812
2024-01-19,14:43:00,21.32,21.75,4998826.32,0.00042153788144728114
2024-01-19,14:43:01,21.46,21.75,4998826.32,0.0004248930877984242
2024-01-19,14:43:01,21.58,21.75,4998861.62,0.0004248131106192863
2024-01-19,14:43:01,21.68,21.75,4999001.61,0.000436101708808611
2024-01-19,14:43:01,21.78,21.75,4999000.87,0.000436024417059401
2024-01-19,14:43:01,21.89,21.75,4998728.56,0.00044393803831696365
2024-01-19,14:43:01,22.0,21.75,4998772.01,0.0004475785153878525
2024-01-19,14:43:01,22.11,21.75,4998771.73,0.00044735448192822634
2024-01-19,14:43:01,22.23,21.75,4998919.33,0.0004587360799280029
2024-01-19,14:43:01,22.35,21.75,4998919.01,0.0004589308787557145
2024-01-19,14:43:02,22.46,21.75,4998678.05,0.00046654813572982414
2024-01-19,14:43:02,22.57,21.75,4998729.01,0.00047037525065955006
2024-01-19,14:43:02,22.68,21.75,4998729.68,0.0004697483046437867
2024-01-19,14:43:02,22.78,21.75,4998832.73,0.0004772157806735916
2024-01-19,14:43:02,22.89,21.75,4998832.62,0.0004769196960996236
2024-01-19,14:43:02,23.01,21.75,4998842.55,0.00048038227421442564
2024-01-19,14:43:02,23.12,21.75,4998842.35,0.00048026760436858696
2024-01-19,14:43:02,23.33,21.75,4998845.09,0.0004923842675506526
2024-01-19,14:43:02,23.33,21.75,4998845.09,0.0004923842675506526
2024-01-19,14:43:03,23.45,21.75,4998811.21,0.0004888091632870841
2024-01-19,14:43:03,23.54,21.75,4998734.76,0.0005005917019716656
2024-01-19,14:43:03,23.66,21.75,4998595.19,0.0005120386803954684
2024-01-19,14:43:03,23.77,21.75,4998740.11,0.0005271789614614184
2024-01-19,14:43:03,23.89,21.75,4998910.95,0.0005389678029010549
2024-01-19,14:43:03,23.99,21.75,4998943.17,0.0005354713221457137
2024-01-19,14:43:03,24.1,21.75,4998794.71,0.0005508413879178372
2024-01-19,14:43:03,24.32,21.75,4998929.28,0.0005595800262663429
2024-01-19,14:43:03,24.32,21.75,4998929.28,0.0005595800262663429
2024-01-19,14:43:04,24.43,21.75,4998646.34,0.0005726713758190581
2024-01-19,14:43:04,24.54,21.75,4998640.01,0.0005785427057208639
2024-01-19,14:43:04,24.64,21.75,4998639.27,0.0005792496740706895
2024-01-19,14:43:04,24.75,21.75,4998639.05,0.0005787588541763669
2024-01-19,14:43:04,24.86,21.75,4998645.01,0.0005793493190782964
2024-01-19,14:43:04,24.97,21.75,4998708.26,0.0005831227662195373
2024-01-19,14:43:04,25.09,21.75,4998732.95,0.0005812839703090863
2024-01-19,14:43:04,25.2,21.75,4998912.39,0.0005930165114197071
2024-01-19,14:43:04,25.3,21.75,4998912.15,0.0005932432895329316
2024-01-19,14:43:05,25.41,21.75,4998798.87,0.0006005903610821381
2024-01-19,14:43:05,25.52,21.75,4998798.87,0.0006041949605221887
2024-01-19,14:43:05,25.65,21.75,4998860.32,0.000604072302237143
2024-01-19,14:43:05,25.76,21.75,4998610.02,0.0006118604122632556
2024-01-19,14:43:05,25.87,21.74,4998658.37,0.0006158716182981553
2024-01-19,14:43:05,25.97,21.74,4998658.17,0.0006155995440508782
2024-01-19,14:43:05,26.08,21.74,4998811.0,0.0006271996833266025
2024-01-19,14:43:05,26.18,21.74,4998774.75,0.0006254081946945162
2024-01-19,14:43:05,26.28,21.74,4998627.27,0.00063875045111668
2024-01-19,14:43:06,26.4,21.74,4998482.91,0.000644347492882138
2024-01-19,14:43:06,26.51,21.74,4998482.43,0.0006445689566428078
2024-01-19,14:43:06,26.62,21.74,4998482.04,0.0006445290049290711
2024-01-19,14:43:06,26.69,21.74,4998481.89,0.0006447504131402268
2024-01-19,14:43:06,26.83,21.74,4998481.4,0.0006447424772474462
2024-01-19,14:43:06,26.94,21.74,4998481.25,0.0006449932666513676
2024-01-19,14:43:06,27.05,21.74,4998481.17,0.0006451773462106666
2024-01-19,14:43:06,27.16,21.74,4998480.68,0.000645438788721611
2024-01-19,14:43:06,27.27,21.74,4998480.83,0.0006456228506894688
2024-01-19,14:43:07,27.38,21.74,4998480.99,0.000645316061792803
2024-01-19,14:43:07,27.48,21.74,4998480.81,0.0006455961700599416
2024-01-19,14:43:07,27.59,21.74,4998480.52,0.0006458602729636524
2024-01-19,14:43:07,27.65,21.74,4998480.47,0.0006459456416214943
2024-01-19,14:43:07,27.75,21.74,4998480.43,0.000645542845673472
2024-01-19,14:43:07,27.87,21.74,4998480.17,0.0006458736442574413
2024-01-19,14:43:07,27.98,21.74,4998480.01,0.0006460790811402485
2024-01-19,14:43:07,28.14,21.74,4998479.81,0.0006463938735053348
2024-01-19,14:43:07,28.25,21.74,4998479.77,0.0006466926508612296
2024-01-19,14:43:07,28.36,21.74,4998479.25,0.0006468634122021342
2024-01-19,14:43:08,28.43,21.74,4998479.09,0.0006473008972245779
2024-01-19,14:43:08,28.58,21.74,4998478.42,0.0006475650446327671
2024-01-19,14:43:08,28.65,21.74,4998477.91,0.0006474771078778138
2024-01-19,14:43:08,28.81,21.74,4998477.61,0.0006474504854218207
2024-01-19,14:43:08,28.85,21.74,4998477.47,0.0006474878493548902
2024-01-19,14:43:08,29.01,21.74,4998477.69,0.0006473331107140909
2024-01-19,14:43:08,29.13,21.74,4998477.68,0.0006475598473073917
2024-01-19,14:43:08,29.24,21.74,4998477.44,0.0006476398782254164
2024-01-19,14:43:08,29.35,21.74,4998477.33,0.0006471837525490297
2024-01-19,14:43:09,29.45,21.74,4998477.7,0.0006468715924588659
2024-01-19,14:43:09,29.57,21.74,4998478.21,0.0006468768689559793
2024-01-19,14:43:09,29.64,21.74,4998478.29,0.0006469515951862975
2024-01-19,14:43:09,29.79,21.74,4998478.13,0.0006471783230729225
2024-01-19,14:43:09,29.84,21.74,4998478.45,0.0006469488690980994
2024-01-19,14:43:09,30.0,21.74,4998478.17,0.0006467355135198438
2024-01-19,14:43:09,30.06,21.74,4998478.21,0.0006461033159818696
2024-01-19,14:43:09,30.16,21.74,4998477.94,0.0006465087989105301
2024-01-19,14:43:09,30.27,21.74,4998477.94,0.0006465087989105301
2024-01-19,14:43:10,30.44,21.74,4998477.74,0.000646802233301149
2024-01-19,14:43:10,30.5,21.74,4998477.62,0.0006463754770973563
2024-01-19,14:43:10,30.66,21.74,4998477.73,0.000646380790458005
2024-01-19,14:43:10,30.76,21.74,4998477.54,0.0006462741300093311
2024-01-19,14:43:10,30.83,21.74,4998477.71,0.0006465141870068201
2024-01-19,14:43:10,30.91,21.74,4998477.63,0.0006467649124956186
2024-01-19,14:43:10,31.02,21.74,4998477.45,0.0006470663792988981
2024-01-19,14:43:10,31.13,21.74,4998477.34,0.000647079738974997
2024-01-19,14:43:10,31.23,21.74,4998477.17,0.0006472718279255461
2024-01-19,14:43:10,31.34,21.74,4998476.81,0.0006472318354249545
2024-01-19,14:43:11,31.44,21.74,4998476.87,0.0006469917752180416
2024-01-19,14:43:11,31.56,21.74,4998476.51,0.0006470478294459321
2024-01-19,14:43:11,31.66,21.74,4998476.55,0.0006471705466499131
2024-01-19,14:43:11,31.77,21.74,4998476.31,0.000647157227329017
2024-01-19,14:43:11,31.88,21.74,4998476.31,0.000646943843260306
2024-01-19,14:43:11,32.0,21.74,4998476.21,0.0006469785230720257
2024-01-19,14:43:11,32.1,21.74,4998475.67,0.0006470612623213917
2024-01-19,14:43:11,32.21,21.74,4998475.79,0.0006467464706777057
2024-01-19,14:43:11,32.35,21.74,4998475.93,0.0006468665107416676
2024-01-19,14:43:12,32.52,21.74,4998475.55,0.0006470932773084302
2024-01-19,14:43:12,32.63,21.74,4998475.51,0.0006471546577650585
2024-01-19,14:43:12,32.74,21.74,4998475.5,0.0006470506295553966
2024-01-19,14:43:12,32.85,21.74,4998475.23,0.0006470933368316374
2024-01-19,14:43:12,32.95,21.74,4998475.33,0.0006469359314983923
2024-01-19,14:43:12,33.06,21.74,4998474.95,0.0006470906890754792
2024-01-19,14:43:12,33.17,21.74,4998474.72,0.0006472321344544877
2024-01-19,14:43:12,33.28,21.74,4998474.14,0.000647461586216247
2024-01-19,14:43:13,33.39,21.74,4998473.93,0.0006473389175715667
2024-01-19,14:43:13,33.5,21.74,4998473.86,0.0006471548469680194
2024-01-19,14:43:13,33.61,21.74,4998473.81,0.0006472375560763595
2024-01-19,14:43:13,33.72,21.74,4998473.22,0.0006473709956081632
2024-01-19,14:43:13,33.83,21.74,4998473.28,0.0006474323607322762
2024-01-19,14:43:13,33.92,21.74,4998473.09,0.0006473336751107037
2024-01-19,14:43:13,34.05,21.74,4998473.31,0.0006471682788764692
2024-01-19,14:43:13,34.16,21.74,4998473.19,0.0006468961944134605
2024-01-19,14:43:13,34.27,21.74,4998473.23,0.0006466507817628317
2024-01-19,14:43:14,34.38,21.74,4998472.96,0.0006466508069030662
2024-01-19,14:43:14,34.49,21.74,4998472.92,0.0006466001368582511
2024-01-19,14:43:14,34.6,21.74,4998472.79,0.0006466108361625652
